lucid_dream_freq,sleep_hours,screen_time_bed,meditation,alcohol_use,marijuana_use,caffeine_intake,physical_activity,diet_score,stress_level,dream_journal,dream_recall,chronotype,age,gender
monthly,7.8,129,yes,never,weekly,186,5,8,10,no,1,early bird,32,other
weekly,7.0,16,no,rarely,never,18,81,1,5,no,2,night owl,26,male
monthly,8.0,103,yes,rarely,rarely,176,114,10,10,no,3,night owl,32,other
monthly,9.0,160,no,never,never,99,68,4,1,no,1,early bird,41,female
monthly,6.9,136,no,weekly,never,395,46,1,6,no,2,early bird,21,male
none,6.9,42,no,rarely,daily,444,24,8,6,yes,3,intermediate,29,other
monthly,9.1,175,no,rarely,never,232,65,1,4,yes,1,early bird,54,female
none,8.1,38,no,weekly,rarely,402,9,3,8,no,1,early bird,54,female
monthly,6.6,169,no,never,weekly,75,55,4,4,no,2,night owl,60,male
none,7.9,25,yes,rarely,rarely,264,29,8,8,yes,5,early bird,23,female
weekly,6.6,98,yes,never,rarely,454,113,6,8,no,1,night owl,56,male
none,6.6,49,yes,daily,rarely,283,108,10,5,no,1,early bird,41,male
none,7.5,152,yes,daily,daily,205,4,7,4,yes,3,early bird,28,male
none,4.9,151,no,weekly,never,222,118,8,2,no,4,night owl,30,male
none,5.1,12,no,rarely,rarely,383,119,2,3,yes,2,intermediate,51,female
none,6.5,59,no,daily,never,51,32,10,3,no,2,early bird,42,male
monthly,6.0,134,no,rarely,daily,338,117,8,4,no,5,early bird,24,female
none,7.6,56,yes,rarely,rarely,366,64,3,4,no,5,night owl,21,male
monthly,6.1,35,yes,rarely,weekly,143,17,7,10,no,2,intermediate,25,female
monthly,5.5,172,no,rarely,rarely,372,95,3,5,no,5,early bird,37,other
weekly,9.0,19,yes,never,never,68,110,7,4,no,3,early bird,46,male
none,6.9,64,yes,never,weekly,98,48,2,10,yes,2,night owl,27,female
none,7.3,7,no,never,never,395,10,10,8,no,5,early bird,60,male
nightly,5.5,143,yes,rarely,weekly,24,84,6,6,yes,2,early bird,51,nonbinary
monthly,6.5,141,no,never,weekly,435,25,3,6,no,4,intermediate,43,nonbinary
monthly,7.3,114,no,weekly,daily,378,62,3,8,no,1,early bird,58,female
weekly,5.8,142,no,rarely,rarely,468,88,9,7,no,2,night owl,20,male
